patternAlignmentAllele,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D17S1301,D18S51,D19S433,D1S1656,D20S482,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D4S2408,D5S818,D6S1043,D7S820,D8S1179,D9S1122,FGA,PentaD,PentaE,TH01,TPOX,vWA
5,,,,,,,,,,,,,,,,,,,,,,,,0.049180328,,,
6,,,,,,,,,,,,,,,,,,,0.00204918,,,,,,0.104508197,,
7,0.00204918,,,0.006147541,0.00204918,,,,,,,,,,,,0.036885246,,0.008196721,,,,0.022540984,0.010245902,0.276639344,0.00204918,
8,,,,0.338114754,0.004098361,,,,0.004098361,,,,,,,0.168032787,,,0.19057377,0.00204918,,,0.055327869,0.006147541,0.053278689,0.600409836,
9,0.024590164,,,0.12295082,0.18442623,0.053278689,,0.004098361,,0.00204918,,,,,,0.317622951,0.06557377,0.004098361,0.047131148,,0.004098361,,0.352459016,0.006147541,0.411885246,0.110655738,
9.1,,,,,,,,,,,,,,0.008196721,,,,,0.004098361,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,,,,,,,,0.098360656,,
10,0.174180328,,,0.110655738,0.125,0.047131148,0.004098361,,0.004098361,0.036885246,,,,0.213114754,,0.352459016,0.225409836,0.024590164,0.176229508,0.129098361,0.045081967,,0.149590164,0.043032787,0.055327869,0.026639344,
10.3,,,,,,,,,,,,,,0.00204918,,,,,,,,,,,,,
11,0.288934426,,,0.217213115,0.321721311,0.161885246,0.00204918,,0.069672131,0.016393443,,0.414583333,,0.295081967,,0.135245902,0.295081967,0.161885246,0.364754098,0.098360656,0.135245902,,0.133196721,0.321721311,,0.239754098,
11.1,,,,,,,,,,,,,,,,,,,0.004098361,,,,,,,,
11.3,,,,,,0.00204918,,,,,,,,0.168032787,,,,,,,,,,,,,
12,0.420081967,0.088114754,,0.161885246,0.25,0.446721311,0.05942623,0.045081967,0.049180328,0.067622951,,0.00625,,0.129098361,,0.026639344,0.196721311,0.147540984,0.178278689,0.118852459,0.391393443,,0.147540984,0.161885246,,0.020491803,
12.2,,,,,,,,0.004098361,,,,,,,,,,,,,,,,,,,
12.3,,,,,,,,,,,,,,0.00204918,,,,,,,,,,,,,
13,0.077868852,0.346311475,,0.034836066,0.098360656,0.241803279,0.118852459,0.274590164,0.116803279,0.31352459,,0.029166667,,0.012295082,0.008196721,,0.176229508,0.141393443,0.022540984,0.204918033,0.342213115,0.00204918,0.092213115,0.06352459,,,
13.1,,,,,,,,0.00204918,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,,0.05942623,,,,,,,,,,,,,,,,,,,
14,0.010245902,0.225409836,,0.006147541,0.014344262,0.045081967,0.172131148,0.233606557,0.100409836,0.37295082,,0.06875,,0.159836066,0.051229508,,0.004098361,0.125,0.00204918,0.178278689,0.06147541,,0.036885246,0.086065574,,,0.260245902
14.2,,,,,,,,0.069672131,,,,,,,,,,,,,,,,,,,
15,0.00204918,0.19057377,0.010245902,0.00204918,,0.00204918,0.24795082,0.069672131,0.256147541,0.161885246,,0.4,,0.010245902,0.274590164,,,0.018442623,,0.159836066,0.016393443,,0.006147541,0.06147541,,,0.034836066
15.2,,,,,,,,0.182377049,,,,,,,,,,,,,,,,,,,
15.3,,,,,,,,,0.00204918,,,,,,,,,,,0.00204918,,,,,,,
16,,0.112704918,0.006147541,,,,0.159836066,0.012295082,0.225409836,0.028688525,,0.058333333,0.014344262,,0.381147541,,,0.00204918,,0.086065574,0.004098361,,,0.055327869,,,0.139344262
16.2,,,,,,,,0.038934426,,,,,,,,,,,,,,,,,,,
16.3,,,,,,,,,0.008196721,,,,,,,,,,,,,,,,,,
17,,0.030737705,0.084016393,,,,0.086065574,,0.077868852,,,0.022916667,0.118852459,,0.209016393,,,0.016393443,,0.020491803,,0.00204918,,0.038934426,,,0.229508197
17.2,,,,,,,,0.004098361,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,0.055327869,,,,,,,,,,,,,,,,,,
18,,0.006147541,0.176229508,,,,0.06147541,,0.012295082,,,,0.081967213,,0.067622951,,,0.163934426,,,,0.026639344,,0.032786885,,,0.18442623
18.2,,,,,,,,,,,,,,,,,,0.012295082,,,,,,,,,
18.3,,,,,,,,,0.016393443,,,,,,,,,,,,,,,,,,
19,,,0.172131148,,,,0.030737705,,,,,,0.235655738,,0.006147541,,,0.129098361,,,,0.079918033,,0.026639344,,,0.125
19.2,,,,,,,,,,,,,,,,,,0.00204918,,,,,,,,,
19.3,,,0.00204918,,,,,,0.00204918,,,,,,,,,,,,,,,,,,
20,,,0.192622951,,,,0.018442623,,,,,,0.100409836,,0.00204918,,,0.038934426,,,,0.047131148,0.00204918,0.012295082,,,0.026639344
20.3,,,,,,,,,,,,,,,,,,0.004098361,,,,,,,,,
21,,,0.149590164,,,,0.020491803,,,,,,0.032786885,,,,,0.004098361,,,,0.153688525,0.00204918,0.020491803,,,
21.2,,,,,,,,,,,,,,,,,,,,,,0.010245902,,,,,
21.3,,,,,,,,,,,,,,,,,,0.004098361,,,,,,,,,
22,,,0.098360656,,,,0.010245902,,,,,,0.053278689,,,,,,,,,0.204918033,,0.004098361,,,
22.2,,,,,,,,,,,,,,,,,,,,,,0.024590164,,,,,
23,,,0.05942623,,,,0.00204918,,,,,,0.194672131,,,,,,,,,0.161885246,,,,,
23.2,,,,,,,,,,,,,,,,,,,,,,0.012295082,,,,,
24,,,0.034836066,,,,0.006147541,,,,,,0.114754098,,,,,,,,,0.112704918,,,,,
24.2,,,,,,,,,,,,,,,,,,,,,,0.020491803,,,,,
25,,,0.012295082,,,,,,,,0.00204918,,0.043032787,,,,,,,,,0.077868852,,,,,
25.2,,,,,,,,,,,,,,,,,,,,,,0.010245902,,,,,
26,,,0.00204918,,,,,,,,,,0.008196721,,,,,,,,,0.036885246,,,,,
26.2,,,,,,,,,,,,,,,,,,,,,,0.006147541,,,,,
27,,,,,,,,,,,0.00204918,,0.00204918,,,,,,,,,0.008196721,,,,,
28,,,,,,,,,,,0.075819672,,,,,,,,,,,0.00204918,,,,,
29,,,,,,,,,,,0.280737705,,,,,,,,,,,,,,,,
30,,,,,,,,,,,0.237704918,,,,,,,,,,,,,,,,
30.2,,,,,,,,,,,0.040983607,,,,,,,,,,,,,,,,
30.3,,,,,,,,,,,0.00204918,,,,,,,,,,,,,,,,
31,,,,,,,,,,,0.071721311,,,,,,,,,,,,,,,,
31.2,,,,,,,,,,,0.075819672,,,,,,,,,,,,,,,,
32,,,,,,,,,,,0.020491803,,,,,,,,,,,,,,,,
32.2,,,,,,,,,,,0.12704918,,,,,,,,,,,,,,,,
33,,,,,,,,,,,0.00204918,,,,,,,,,,,,,,,,
33.2,,,,,,,,,,,0.051229508,,,,,,,,,,,,,,,,
34.2,,,,,,,,,,,0.010245902,,,,,,,,,,,,,,,,
h,0.29707236,0.228508801,0.141947729,0.216364888,0.225544209,0.291336334,0.147373018,0.180227089,0.157073031,0.270626176,0.172945781,0.341423611,0.143568597,0.20327197,0.271667562,0.272347823,0.213316313,0.130089358,0.235042663,0.147624966,0.294704045,0.122766058,0.199593523,0.156333983,0.272675356,0.431352459,0.191380005
PIC,0.653743926,0.73778169,0.84178035,0.753183596,0.739699726,0.667733496,0.836500842,0.797126706,0.825504956,0.68585471,0.806911227,0.597183735,0.840872075,0.766780794,0.683255105,0.680221224,0.753825726,0.855794767,0.730712328,0.834633992,0.65598007,0.865417217,0.777374482,0.830733959,0.68784079,0.515991854,0.781135329
p,0.998510363,0.719240422,0.995674766,0.307548129,0.346750181,0.460240728,0.000136612,0.626276187,0.845427071,0.01524534,0.798703097,0,0.626770143,0.500076716,0.960054865,0.531778447,0.648852055,0.712725536,0.87579982,0.120502645,0.97938867,0.988128163,0.982170043,0,0.765230491,0.250324228,0.957182982
